Designator,Mid X,Mid Y,Layer,Rotation
R51,53.98mm,28.58mm,T,270
R52,66.68mm,28.58mm,T,270
R53,43.97mm,25.72mm,T,270
R54,14.13mm,24.77mm,T,0
R55,16.35mm,24.77mm,T,180
R56,37.31mm,24.77mm,T,0
R57,39.53mm,24.77mm,T,180
R58,59.21mm,24.77mm,T,0
R59,61.44mm,24.77mm,T,180
R6,32.07mm,66.68mm,T,90
R60,9.05mm,18.10mm,T,90
R61,31.91mm,18.10mm,T,90
R62,54.77mm,18.10mm,T,90
R63,37.15mm,16.83mm,T,180
R64,14.29mm,16.83mm,T,180
R65,60.01mm,16.83mm,T,180
R66,63.34mm,15.40mm,T,270
R67,17.62mm,15.24mm,T,270
R68,40.48mm,15.24mm,T,270
R69,61.75mm,14.92mm,T,0
R7,42.07mm,66.36mm,T,0
R70,16.03mm,14.76mm,T,0
R71,38.89mm,14.76mm,T,0
R72,36.67mm,11.75mm,T,180
R73,59.53mm,11.75mm,T,180
R74,13.97mm,11.75mm,T,180
R75,12.38mm,11.27mm,T,90
R76,35.08mm,11.27mm,T,90
R77,57.94mm,11.27mm,T,90
R8,20.80mm,65.72mm,T,90
R9,21.75mm,65.72mm,T,90
